age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
21.0,Female,5.2,2.8,,No,71.24307772606471,14.78575631195919,Good,0,Bachelor,Good,8.0,,89.5
21.0,Male,4.4,2.2,0.9,No,63.823818995251145,4.997898743758027,Good,6,High School,Poor,4.0,Yes,84.2
21.0,Male,1.3,0.4,2.3,Yes,62.02620307108892,15.399748929355011,Good,2,High School,Good,,Yes,42.2
23.0,Male,6.0,2.9,,Yes,85.12798098390385,2.6995625088261384,Poor,0,,Average,8.0,,100.0
21.0,Male,3.3,1.7,,No,69.91895170276064,4.413224326983917,Poor,0,High School,Good,,,60.5
,Female,3.1,1.9,2.6,Yes,51.15699173402497,5.740419050532228,Fair,4,High School,Good,10.0,No,68.1
21.0,Male,3.6,,,No,58.617114135185744,22.11567608104845,Poor,5,High School,Average,,No,89.1
18.0,Female,4.7,3.2,1.9,No,74.43986436852836,12.3498419544971,Good,4,,Good,5.0,No,71.0
19.0,Female,3.3,2.2,2.9,Yes,66.1586585259607,17.051232482695127,Good,0,High School,Poor,8.0,No,76.1
21.0,Female,3.0,3.1,2.4,Yes,54.66045888750196,9.33408362415358,Fair,4,High School,Average,8.0,No,66.3
22.0,Female,3.9,1.8,3.9,No,73.53357578852712,15.452754620799944,Fair,1,Master,Good,5.0,,65.5
22.0,Female,1.1,1.7,2.7,No,78.49025595603536,3.781402487542716,Fair,4,,Average,,No,35.8
24.0,Female,,3.0,0.4,No,61.54747154144434,1.5741090916990057,Fair,3,High School,Average,7.0,No,90.8
21.0,Female,2.9,2.6,2.0,No,68.62122719250652,7.276159394149902,,0,Master,Good,0.0,No,43.5
17.0,Female,4.5,1.2,2.6,No,83.23445850262073,10.432945779267625,Good,0,Bachelor,Good,,,76.3
24.0,Male,,4.5,2.2,No,62.26769710735609,14.580738395110748,Good,2,,Good,,,73.8
24.0,Male,4.3,2.3,,No,64.85062334668197,0.0,Poor,4,High School,Poor,6.0,,77.4
19.0,Male,2.1,2.3,0.9,No,65.00223786696425,2.550377509813265,Good,4,Bachelor,Poor,10.0,No,63.1
21.0,Male,2.5,3.2,2.0,No,80.057385644769,0.0,Fair,2,Bachelor,Good,5.0,No,41.6
24.0,Male,0.8,2.4,0.8,No,98.43061385097413,13.842850779459706,Fair,2,Bachelor,Average,,,35.3
24.0,Female,,3.1,1.1,No,100.0,0.0,Fair,0,Bachelor,Poor,5.0,No,33.8
,Male,4.2,1.7,1.8,No,50.35640184174537,10.70971087409152,Fair,4,Bachelor,Poor,3.0,No,76.0
23.0,Female,,5.3,1.7,Yes,56.22161564070056,0.0,Good,5,Bachelor,Average,9.0,No,67.0
,Female,4.6,3.7,0.8,No,68.28180743772091,0.0,Fair,1,,Good,,No,63.3
17.0,Male,1.9,4.0,3.0,No,74.18366407534539,0.0,Poor,0,Bachelor,Average,6.0,Yes,35.7
18.0,Male,1.7,1.0,,No,58.84166909127735,0.7211457748386723,Good,5,Bachelor,Good,7.0,No,63.6
18.0,Male,4.3,4.0,0.8,No,82.96330626477446,12.728411365968238,Fair,0,,Average,1.0,No,60.8
24.0,Female,,2.5,0.8,Yes,84.89775471730545,9.128278867408197,Good,3,Master,Good,6.0,No,50.3
22.0,Female,4.9,3.5,1.2,No,56.8982262310148,17.027978996875856,Good,1,High School,Good,4.0,,75.4
17.0,Female,3.5,3.9,2.6,No,61.09261867837641,2.3843485371219657,Fair,5,High School,Good,3.0,Yes,65.6
24.0,Female,4.3,,3.2,No,50.27984843814633,11.756236583598897,Poor,0,Bachelor,Good,,No,65.7
,Male,3.3,,2.1,No,77.81932401324968,0.0,Poor,2,Bachelor,Poor,8.0,Yes,75.4
22.0,Female,3.1,4.0,1.3,No,93.0622300037804,0.0,,7,High School,Good,9.0,Yes,74.0
24.0,Male,5.3,2.9,1.9,No,89.49637702755444,6.575399651619746,Good,3,Bachelor,Poor,6.0,Yes,80.9
20.0,Female,4.8,2.0,3.5,No,84.47000866658175,3.6421397356421994,Good,1,Bachelor,Good,8.0,Yes,70.6
18.0,Female,5.1,2.5,2.4,No,73.72500312381518,7.952548259146823,Poor,0,Master,Good,7.0,No,79.3
20.0,Male,3.6,,0.9,No,48.76037279947752,4.930938173854172,Good,5,Bachelor,Average,9.0,No,66.5
22.0,Male,1.7,2.9,2.0,No,100.0,6.976440023957705,Good,0,High School,Good,6.0,No,50.2
19.0,Male,5.5,3.1,,No,70.25265081794322,11.557303283755925,Good,1,High School,Average,2.0,No,82.3
22.0,Female,2.4,1.9,2.1,No,73.90043667365494,8.087230894410784,Poor,5,High School,Average,10.0,,60.0
24.0,Male,2.0,0.6,,No,85.05703834897922,8.722119856722298,Poor,7,High School,Good,1.0,Yes,50.5
18.0,Male,3.7,3.4,2.0,No,75.52624788781601,0.0,Fair,3,High School,Poor,0.0,Yes,63.5
22.0,Female,3.8,2.3,2.9,No,77.86367414132596,11.929535000765917,Good,3,Master,Good,2.0,,58.5
18.0,Female,5.2,3.0,3.3,No,68.52221357408968,3.564012382812282,Good,4,,Poor,9.0,,87.1
19.0,Male,5.3,2.6,0.0,Yes,87.31017847245894,0.0,Fair,6,High School,Average,8.0,Yes,98.4
20.0,Female,6.0,1.6,1.3,No,99.53644767390593,20.594677042560104,,6,Bachelor,Average,,,100.0
23.0,Male,2.2,0.9,,No,64.82245001164429,8.954147214439633,Fair,7,High School,Poor,6.0,,64.1
20.0,Female,6.6,3.2,2.1,No,87.90907709780026,16.87747026406695,Fair,6,Master,Average,,Yes,100.0
22.0,Female,2.5,0.8,2.0,No,80.88670664050898,23.178076999437284,Fair,4,High School,Good,5.0,,75.6
23.0,Male,5.1,1.5,0.8,No,66.9755323054459,7.52324225678042,Fair,7,,Good,5.0,No,83.2
19.0,Female,4.6,2.0,3.6,Yes,67.11994681287466,3.311401094122457,Fair,6,Bachelor,Average,3.0,No,83.0
19.0,Female,2.5,2.8,0.5,Yes,86.47733894710481,15.017399918985753,Poor,1,,Poor,5.0,Yes,60.6
23.0,Male,6.3,1.9,0.0,No,84.35709027246656,7.918677357832539,Fair,6,,Good,,Yes,100.0
24.0,Male,3.5,0.0,2.3,No,71.25204401270874,0.0,Fair,4,Bachelor,Good,,Yes,64.4
22.0,Male,4.1,2.4,,No,67.0081532848961,7.611032194924907,Fair,4,Master,Good,4.0,No,66.7
17.0,Other,2.9,2.5,2.4,Yes,86.09894642943422,8.321337493930466,Poor,5,,Good,9.0,No,65.2
18.0,Male,2.7,2.1,1.9,No,61.43189384405052,4.776420917604162,Good,4,High School,Poor,4.0,No,64.5
23.0,Female,4.9,,2.8,No,74.74682502539618,6.460812836050991,Good,0,Bachelor,Average,3.0,,77.0
